name,type,sub_type,bottle_size,cost,abv,brand,distributor,pack_size,pack_cost
Zonin N/A Zonin Cuvee Zero - Non Alc,Non-Alc,Other,750,3.92,,Zonin N/A Zonin,Republic National,24,94.00
Ridge Vineyards 2023 Ridge Three Valley Zinfandel,Wine,Red,750,228.00,12,Ridge Vineyards,Republic National,1,
Ridge Vineyards 2023 Ridge Three Valley Zinfandel,Wine,Red,750,19.00,12,Ridge Vineyards,Republic National,12,228.00
"Ca'Marcanda, Camarcanda Bolgheri, 2022",Wine,Red,750,1080.00,12,Ca'Marcanda Camarcanda Bolgheri,Republic National,1,1080.00
Hartford Court Russian River Valley Chardonnay,Wine,White,750,216.00,12,Hartford Court Russian,Republic National,1,216.00
Macallan 18 Year Old Sherry Oak Single Malt,Spirit,Whiskey,750,312.90,40,Macallan,Republic National,1,
Vina Robles Paso Rob Cabernet Sauvignon Estate,Wine,Red,750,16.00,12,Vina Robles Paso,Republic National,12,192.00
Chateau Blaignan Bordeaux,Wine,Red,750,17.00,12,Chateau Blaignan Bordeaux,Republic National,12,204.00
Sotol Por Siempre Sotol,Spirit,Other Spirit,750,32.00,40,Sotol Por Siempre,Republic National,1,
Familia Torres Torres Celeste Rioja Crianza Wd,Wine,Red,750,16.00,12,Familia Torres Torres,Republic National,6,96.00
"Pago del Cielo, 'Celeste', Crianza, Ribera del Duero,",Wine,Red,750,96.00,12,Pago Del Cielo,Republic National,1,96.00
Don Q Barrel Spiced Rum,Spirit,Rum,750,25.55,40,Don Q,Republic National,1,
DECERO MALBEC,Wine,Red,750,16.80,12,DECERO MALBEC,Republic National,1,
Fernet Branca Liqueur,Spirit,Amaro,750,32.80,40,Fernet Branca,Republic National,1,
LALO Blanco Tequila,Spirit,Tequila,750,38.00,40,LALO,Republic National,1,
Chopin Potato Vodka,Spirit,Vodka,750,25.20,40,Chopin,Republic National,1,
REAL PEACH PUREE,Non-Alc,Syrup,1000,4.75,,REAL PEACH PUREE,Republic National,6,28.50
Real Cocktail Ingredients Real Raspberry Puree Infused Syrup,Non-Alc,Syrup,1000,5.04,,Real Cocktail Ingredients,Republic National,6,30.24
Real Mango Puree Syrup,Non-Alc,Syrup,1000,4.75,,Real Mango Puree,Republic National,6,28.50
Breckenridge Distillery Port Cask Finish Whiskey,Spirit,Whiskey,750,34.80,40,Breckenridge Distillery Port,Republic National,1,
Breckenridge Distillers High Proof Blend Bourbon,Spirit,Whiskey,750,34.80,40,Breckenridge Distillers High,Republic National,1,
ROSE'S GRENADINE,Non-Alc,Syrup,1000,8.55,,Rose's,Republic National,1,
The Macallan 12 Year Old Double Cask Single Malt Scotch Whisky,Spirit,Whiskey,750,63.05,40,The Macallan,Republic National,1,
"Dal Forno Romano, Amarone della Valpolicella, 2018",Wine,Red,750,2070.00,12,Dal Forno Romano,Republic National,1,2070.00
"Dal Forno Romano, Valpolicella Superiore, 2019",Wine,Red,750,690.00,12,Dal Forno Romano,Republic National,1,690.00
"Famille Joly, Les Vieux Clos, 2023",Wine,White,750,354.00,12,Famille Joly Les,Republic National,1,354.00
"GAJA, Barbaresco, 2022",Wine,Red,750,1650.00,12,Gaja,Republic National,1,1650.00
"Patrimony, Cabernet Sauvignon, Paso Robles, 2021",Wine,Red,750,606.00,12,Patrimony,Republic National,1,606.00
"Pieve Santa Restituta, Brunello di Montalcino, 2020",Wine,Red,750,468.00,12,Pieve Santa Restituta,Republic National,1,468.00
TENUTA SAN GUIDO 'LE DIFESE' 2023,Wine,Red,750,468.00,12,TENUTA SAN GUIDO,Republic National,1,468.00
TENUTA SAN GUIDO 'GUIDALBERTO' 2023,Wine,Red,750,684.00,12,TENUTA SAN GUIDO,Republic National,1,684.00
TENUTA SAN GUIDO 'SASSICAIA' 2022,Wine,Red,750,1320.00,12,Sassicaia,Republic National,1,1320.00
Bombay Sapphire Gin 94,Spirit,Gin,750,29.38,47,Bombay Sapphire,Southern Glazer's,1,
Patron Tequila Silver Bar 80,Spirit,Tequila,750,41.58,40,Patron,Southern Glazer's,12,499.00
Dekuyper Sour Apple Schnapps Pucker 30,Spirit,Liqueur,750,10.73,40,Dekuyper,Southern Glazer's,1,
Grey Goose Pear Flavored Vodka Grey Goose La Poire 80,Spirit,Vodka,750,35.99,40,Grey Goose,Southern Glazer's,6,215.94
absolut vodka 80,Spirit,Vodka,750,25.98,40,Absolut,Southern Glazer's,12,311.81
nonino amaro quintessentia 70,Spirit,Amaro,750,42.96,35,Nonino,Southern Glazer's,1,
Filthy Onions,Non-Alc,Garnish,,6.33,,Filthy,Southern Glazer's,1,
filthy pickle olives,Non-Alc,Garnish,,7.33,,Filthy,Southern Glazer's,1,
GREY GOOSE VODKA 80,Spirit,Vodka,1000,33.49,40,Grey Goose,Southern Glazer's,1,
LUXARDO MARASCHINO CHERRIES 5.6KG,Non-Alc,Garnish,,135.00,,Luxardo,Southern Glazer's,1,
St Germain Elderflower Liqueur 40,Spirit,Liqueur,750,32.83,40,St Germain,Southern Glazer's,6,197.00
Jefferson's Straight Bourbon 82.3,Spirit,Whiskey,750,37.87,40,Jefferson's Straight,Southern Glazer's,1,
Dewar's Blended Scotch White Label 80,Spirit,Whiskey,750,28.83,40,Dewar's,Southern Glazer's,1,
Dewar's Blended Scotch White Label 80,Spirit,Whiskey,750,28.83,40,Dewar's,Southern Glazer's,12,346.00
ANGOSTURA ORANGE BITTERS,Spirit,Bitters,750,10.71,40,Angostura,Southern Glazer's,1,
Filthy Blue Cheese Olives,Non-Alc,Garnish,,41.00,,Filthy,Southern Glazer's,6,246.00
Jameson Blended Irish Whiskey 80,Spirit,Whiskey,750,37.49,40,Jameson,Southern Glazer's,1,
midori melon liqueur 40,Spirit,Liqueur,750,29.98,40,Midori Melon,Southern Glazer's,1,
Bacardi Light Rum Superior 80,Spirit,Rum,750,17.79,40,Bacardi,Southern Glazer's,12,213.50
Benedictine Brandy Liqueur B&b 80,Spirit,Brandy,750,37.02,40,Benedictine,Southern Glazer's,1,
Benedictine Brandy Liqueur Dom 80,Spirit,Brandy,750,29.43,40,Benedictine,Southern Glazer's,1,
Del Maguey Mezcal Vida 84,Spirit,Mezcal,750,31.84,42,Del Maguey,Southern Glazer's,1,
Maker's 46 Straight Bourbon,Spirit,Whiskey,750,31.99,40,Maker's,Southern Glazer's,1,
Patron Coffee Liqueur Xo Cafe 70,Spirit,Tequila,750,35.69,35,Patron,Southern Glazer's,1,
Whistle Pig 10yr Rye,Spirit,Whiskey,750,69.67,40,Whistle Pig,Southern Glazer's,1,
Frangelico Hazelnut Liqueur 40,Spirit,Liqueur,750,35.06,40,Frangelico,Southern Glazer's,1,
Chartreuse Herbal Liqueur Green 110,Spirit,Liqueur,750,58.99,55,Chartreuse,Southern Glazer's,1,
FILTHY BLACK CHERRY-SMALL JAR,Non-Alc,Garnish,,13.00,,Filthy,Southern Glazer's,12,156.00
malibu coconut flavored rum original 42,Spirit,Rum,750,19.55,40,Malibu Coconut Flavored,Southern Glazer's,1,
Licor 43,Spirit,Liqueur,750,33.32,40,Licor 43,Southern Glazer's,1,
olmeca altos tequila reposado 80,Spirit,Tequila,750,31.83,40,Olmeca,Southern Glazer's,6,191.00
olmeca altos tequila plata 80,Spirit,Tequila,750,31.83,40,Olmeca,Southern Glazer's,6,191.00
GREEN SPOT SINGLE POT STILL IRISH WHISKEY 80,Spirit,Whiskey,750,63.70,40,GREEN SPOT,Southern Glazer's,1,
Teeling Blended Irish Whiskey Small Batch,Spirit,Whiskey,750,37.44,40,Teeling Blended,Southern Glazer's,1,
Angostura Bitters 16oz,Spirit,Bitters,473,26.42,40,Angostura,Southern Glazer's,1,
10th Mountain Spirits Rye Whiskey 86,Spirit,Whiskey,750,39.00,43,10th Mountain,Southern Glazer's,1,
Hibiki Japanese Whisky,Spirit,Whiskey,750,74.07,40,Hibiki,Southern Glazer's,1,
Jefferson's Straight Bourbon Ocean Aged At Sea 90,Spirit,Whiskey,750,65.70,45,Jefferson's Straight,Southern Glazer's,1,
Angel's Envy Straight Bourbon Finished In Port Wine Barrels,Spirit,Whiskey,750,45.75,40,Angel's Envy Straight,Southern Glazer's,6,274.50
Aberfeldy Single Malt Scotch 16 Yr 80,Spirit,Whiskey,750,77.00,40,Aberfeldy,Southern Glazer's,1,
Courvoisier Cognac VSOP,Spirit,Cognac,750,31.10,40,Courvoisier,Southern Glazer's,1,
Courvoisier Cognac Vsop 80,Spirit,Cognac,750,31.10,40,Courvoisier,Southern Glazer's,1,
Courvoisier Cognac XO,Spirit,Cognac,750,148.14,40,Courvoisier,Southern Glazer's,1,
angel's envy rye whiskey finished in caribbean rum casks finished rye 100,Spirit,Whiskey,750,72.00,50,Angel's Envy,Southern Glazer's,1,
ANGEL'S ENVY RYE WHISKEY FINISHED RYE 100,Spirit,Whiskey,750,72.00,50,ANGEL'S ENVY,Southern Glazer's,1,
Aberfeldy Single Malt Scotch 12 Yr 80,Spirit,Whiskey,750,45.75,40,Aberfeldy,Southern Glazer's,1,
Patron Reposado Tequila,Spirit,Tequila,750,43.99,40,Patron,Southern Glazer's,1,
High West Rye Whiskey Double Rye!,Spirit,Whiskey,750,34.81,40,High West,Southern Glazer's,1,
italicus rosolio di bergamotto liqueur 40,Spirit,Liqueur,750,38.33,40,Italicus Rosolio Di,Southern Glazer's,1,
Filthy Bloody Mary Mix,Non-Alc,Mixer,,7.12,,Filthy,Southern Glazer's,8,57.00
chateau ste. michelle sauvignon blanc columbia valley,Wine,White,750,8.00,12,Chateau Ste Michelle,Southern Glazer's,12,96.00
FILTHY BLOODY MARY MIX 4 GALLON/CS,Non-Alc,Mixer,,18.50,,Filthy,Southern Glazer's,4,74.00
jameson orange flavored whiskey 60,Spirit,Whiskey,750,37.49,30,Jameson,Southern Glazer's,1,
Cazadores Tequila Blanco 80,Spirit,Tequila,750,22.49,40,Cazadores,Southern Glazer's,1,
FILTHY BLACK CHERRY-LARGE JAR,Non-Alc,Garnish,,39.17,,Filthy,Southern Glazer's,6,235.00
onehope brut sparkling california,Wine,Sparkling,750,107.00,12,Onehope Brut,Southern Glazer's,1,107.00
Aperol Aperitivo 22,Spirit,Liqueur,750,26.91,40,Aperol,Southern Glazer's,6,161.46
Averna Siciliano Amaro,Spirit,Amaro,750,32.77,40,Averna,Southern Glazer's,1,
cynar aperitif ricetta originale 33,Spirit,Amaro,750,25.31,40,Cynar,Southern Glazer's,1,
wild turkey straight bourbon longbranch 8 yr 86,Spirit,Whiskey,750,30.36,43,Wild Turkey,Southern Glazer's,1,
CLASE AZUL REPESADO 80,Spirit,Tequila,750,144.44,40,Clase Azul,Southern Glazer's,1,
elijah craig straight bourbon small batch 94,Spirit,Whiskey,750,28.49,47,Elijah Craig,Southern Glazer's,1,
bombay gin sapphire premier cru murcian lemon 94,Spirit,Gin,750,26.59,47,Bombay,Southern Glazer's,6,159.54
prunotto barbaresco bric turot 2019,Wine,Red,750,57.77,12,Prunotto Barbaresco Bric,Southern Glazer's,6,346.62
Chartreuse Herbal Liqueur Cuvee Des Meilleurs Ouvriers De France Sommeliers 90,Spirit,Liqueur,750,89.50,45,Chartreuse,Southern Glazer's,1,
Hipstirs syrup lavender haze,Non-Alc,Syrup,1000,11.00,,Hipstirs,Southern Glazer's,1,
Avissi Prosecco Extra Dry,Wine,Sparkling,750,13.26,12,Avissi,Southern Glazer's,6,79.55
Rutherford Hill Cabernet Sauvignon AJT 2021,Wine,Red,750,180.00,12,Rutherford Hill,Southern Glazer's,1,180.00
CLASE AZUL ANEJO 80,Spirit,Tequila,750,451.67,40,Clase Azul,Southern Glazer's,1,
Filthy Olive Brine,Non-Alc,Mixer,,3.50,,Filthy,Southern Glazer's,12,42.05
7 Cellars Pinot Noir The Farm Collection Monterey County 2021,Wine,Red,750,189.50,12,7 Cellars,Southern Glazer's,1,189.50
nickel & nickel cabernet sauvignon bear track vineyard napa valley 2021,Wine,Red,750,468.00,12,Nickel & Nickel,Southern Glazer's,1,468.00
Beefeater London Dry Gin 80,Spirit,Gin,750,25.73,40,Beefeater,Southern Glazer's,1,
silverado vineyards cabernet sauvignon solo stags leap district 2018,Wine,Red,750,690.00,12,Silverado Vineyards,Southern Glazer's,1,690.00
the prisoner red blend wine california 2022,Wine,Red,750,42.85,12,Prisoner Red Blend,Southern Glazer's,12,514.20
elway's chardonnay reserve carneros 2022,Wine,White,750,290.50,12,Elway's,Southern Glazer's,1,290.50
CAMPARI APERITIVO 48,Spirit,Liqueur,750,35.04,40,Campari,Southern Glazer's,1,
Caymus Vineyards Cabernet Sauvignon Special Selection Napa Valley 2019 Wood Box,Wine,Red,750,199.17,12,Caymus,Southern Glazer's,6,1195.00
KAHLUA COFFEE LIQUER THE ORIGINAL 40,Spirit,Liqueur,750,31.07,40,Kahlua,Southern Glazer's,1,
Patron Tequila Cristalino Anejo 80,Spirit,Tequila,750,59.99,40,Patron,Southern Glazer's,1,
Almave Blanco Non-Alcoholic,Non-Alc,Other,750,29.33,,Almave,Southern Glazer's,1,
nino negri valtellina superiore vigneto fracia 2019,Wine,Red,750,51.99,12,Nino Negri Valtellina,Southern Glazer's,6,311.94
ELWAY'S CABERNET SAUVIGNON RESERVE NAPA VALLEY 2021,Wine,Red,750,57.88,12,ELWAY'S,Southern Glazer's,1,
austin hope cabernet sauvignon paso robles 2022,Wine,Red,750,546.00,12,Austin Hope,Southern Glazer's,1,546.00
grey goose vodka altius 80,Spirit,Vodka,750,140.00,40,Grey Goose,Southern Glazer's,1,
Il Poggione Brunello di Montalcino 2019,Wine,Red,750,228.00,12,Il Poggione Brunello,Southern Glazer's,1,228.00
patz & hall pinot noir sonoma coast 2021,Wine,Red,750,37.03,12,Patz & Hall,Southern Glazer's,12,444.36
Stag's Leap Wine Cellars Cabernet Sauvignon Artemis Napa Valley 2022,Wine,Red,750,66.66,12,Stag's Leap,Southern Glazer's,6,399.96
liquid light sauvignon blanc washington,Wine,White,750,14.81,12,Liquid Light,Southern Glazer's,12,177.69
liquid light pinot grigio washington,Wine,White,750,14.81,12,Liquid Light,Southern Glazer's,12,177.69
liquid light chardonnay washington,Wine,White,750,14.81,12,Liquid Light,Southern Glazer's,12,177.69
GOLD SPOT SINGLE POT STILL IRISH WHISKEY GENERATIONS EDITION 13 YR 92,Spirit,Whiskey,750,98.21,46,GOLD SPOT,Southern Glazer's,1,
Bravium Pinot Noir Anderson Valley 2023,Wine,Red,750,29.63,12,Bravium,Southern Glazer's,6,177.78
liquid light brut rose washington,Wine,Sparkling,750,16.29,12,Liquid Light Brut,Southern Glazer's,12,195.48
SWANSON CAB SAUV NAPA VALLEY 2022,Wine,Red,750,180.00,12,SWANSON CAB SAUV,Southern Glazer's,1,180.00
liquid light sparkling wine brut washington,Wine,Sparkling,750,16.29,12,Liquid Light,Southern Glazer's,12,195.48
chateau branaire ducru saint julien 2019 wood box,Wine,Red,750,68.00,12,Chateau Branaire Ducru,Southern Glazer's,6,408.00
MONKEY 47 DRY GIN SCHWARZWALD 94,Spirit,Gin,750,72.33,47,Monkey 47,Southern Glazer's,1,
sea smoke pinot noir ten sea smoke estate vineyard santa rita hills 2022,Wine,Red,750,498.00,12,Sea Smoke,Southern Glazer's,1,498.00
elway's cabernet sauvignon completion oakville 2022,Wine,Red,750,183.25,12,Elway's,Southern Glazer's,6,1099.50
justin red wine isosceles paso robles 2021,Wine,Red,750,450.00,12,Justin Red,Southern Glazer's,1,450.00
chateau ste. michelle merlot indian wells columbia valley 2021,Wine,Red,750,150.00,12,Chateau Ste Michelle,Southern Glazer's,1,150.00
Terlato Pinot Grigio Colli Orientali Del Friuli 2024,Wine,White,750,20.00,12,Terlato,Southern Glazer's,12,239.95
dolce white wine late harvest wine napa valley 2019,Wine,White,750,75.83,12,Dolce,Southern Glazer's,6,455.00
Dolce Late Harvest 375ML,Wine,Other,375,270.00,12,Dolce Late Harvest,Southern Glazer's,1,270.00
LUXARDO MARASCHINO ORIGINALE 64,Spirit,Liqueur,750,32.00,32,Luxardo,Southern Glazer's,1,
far niente cabernet sauvignon napa valley 2022,Wine,Red,750,50.00,12,Far Niente,Southern Glazer's,12,600.00
Owen's Craft Mixers Transfusion Mix,Non-Alc,Mixer,,1.25,,Owen's Craft,Southern Glazer's,24,30.00
MIRAVAL COTES DE PROVENCE ROSE 2024,Wine,Rosé,750,210.00,12,MIRAVAL COTES DE,Southern Glazer's,1,210.00
summer dreams pinot noir stargazing sonoma coast 2023,Wine,Red,750,330.00,12,Summer Dreams,Southern Glazer's,1,330.00
Martini Vermouth Extra Dry,Wine,Sparkling,750,13.83,12,Martini,Southern Glazer's,6,83.00
Booker's Straight Bourbon Barry's Batch 2025-1 7 Yr 125.7,Spirit,Whiskey,750,68.14,40,Booker's,Southern Glazer's,1,
Lallier Champagne Brut R.021 Reflexion 2021,Wine,Sparkling,750,53.14,12,Lallier,Southern Glazer's,6,318.82
Filthy Agave Nectar,Non-Alc,Syrup,1000,12.13,,Filthy,Southern Glazer's,1,
chateau ste. michelle red blend indian wells columbia valley 2022,Wine,Red,750,9.00,12,Chateau Ste Michelle,Southern Glazer's,12,108.00
rex hill pinot noir willamette valley 2022,Wine,Red,750,30.00,12,Rex Hill,Southern Glazer's,6,180.00
angel's envy straight bourbon cask strength distillers collection 10 10 yr 122.6,Spirit,Whiskey,750,174.99,40,Angel's Envy Straight,Southern Glazer's,1,
estival sauvignon blanc horse heaven hills 2024,Wine,White,750,12.00,12,Estival,Southern Glazer's,12,144.00
sea smoke blanc de noirs sea spray sea smoke estate vineyard santa rita hills 2020,Wine,Sparkling,750,70.25,12,Sea Smoke Blanc,Southern Glazer's,6,421.50
Booker's Straight Bourbon The Reserves 2025 Batch 9 Yr 123.3,Spirit,Whiskey,750,99.99,40,Booker's,Southern Glazer's,1,
booker's straight bourbon the reserves 2025 batch 8 yr 123.3,Spirit,Whiskey,750,99.99,40,Booker's,Southern Glazer's,1,
7 cellars cabernet sauvignon the farm collection paso robles 2023,Wine,Red,750,15.79,12,7 Cellars,Southern Glazer's,12,189.50
CHIMNEY ROCK CAB SAUV 40 ANNY 2023,Wine,Red,750,59.00,12,CHIMNEY ROCK CAB,Southern Glazer's,1,
ethos cellars cabernet sauvignon columbia valley 2022,Wine,Red,750,15.00,12,Ethos Cellars,Southern Glazer's,6,90.00
caymus vineyards cabernet sauvignon napa valley 2023,Wine,Red,750,63.74,12,Caymus,Southern Glazer's,12,764.92
eroica riesling columbia valley 2024,Wine,White,750,18.51,12,Eroica,Southern Glazer's,6,111.07
liquid light rose wine washington 2024,Wine,Rosé,750,14.81,12,Liquid Light,Southern Glazer's,12,177.69
LILLET APERITIF BLANC 34,Wine,White,750,18.48,12,Lillet,Southern Glazer's,1,
Booker's Straight Bourbon Phantom Pipes Batch 2025-04 7 Yr 126.4,Spirit,Whiskey,750,68.14,40,Booker's,Southern Glazer's,1,
erath pinot noir reserve willamette valley 2023,Wine,Red,750,17.50,12,Erath,Southern Glazer's,6,105.00
patron tequila silver 100,Spirit,Tequila,750,41.24,50,Patron,Southern Glazer's,1,
colorado avalanche straight bourbon 90,Spirit,Whiskey,750,40.83,45,Colorado Avalanche Straight,Southern Glazer's,6,245.00
FIJI NATURAL ARTESIAN WATER,Non-Alc,Mixer,500,1.09,,FIJI,Southern Glazer's,24,26.25
FIJI NATURAL ARTESIAN WATER,Non-Alc,Mixer,1000,2.00,,FIJI,Southern Glazer's,12,24.00
redbreast single pot still irish whiskey 12 yr 80,Spirit,Whiskey,750,61.04,40,Redbreast,Southern Glazer's,1,
LOMBARDO MARSALA ANBRA SWEET FINE I.P.,Wine,Fortified,750,9.00,12,LOMBARDO MARSALA ANBRA,Southern Glazer's,1,
El Tesoro Tequila Blanco 80,Spirit,Tequila,750,41.23,40,El Tesoro,Southern Glazer's,1,
Bacardi 8 aged rum rare gold reserva ocho 8 yr,Spirit,Tequila,750,36.98,40,Bacardi,Southern Glazer's,1,
Basil Hayden's Straight Bourbon 80,Spirit,Whiskey,750,48.83,40,Basil Hayden,Southern Glazer's,1,
Gekkeikan Junmai Sake,Wine,Other,750,8.14,12,Gekkeikan Junmai Sake,Southern Glazer's,1,
codigo 1530 tequila blanco 80,Spirit,Tequila,750,47.50,40,Codigo,Southern Glazer's,1,
codigo 1530 tequila reposado 80,Spirit,Tequila,750,64.16,40,Codigo,Southern Glazer's,1,
el tesoro tequila anejo 80,Spirit,Tequila,750,67.14,40,El Tesoro,Southern Glazer's,1,
Perrier Jouet Grand Brut Shape,Wine,Sparkling,750,35.00,12,Perrier Jouet Grand,Southern Glazer's,6,210.00
Chartreuse Herbal Liqueur Yellow 86,Spirit,Liqueur,750,58.99,43,Chartreuse,Southern Glazer's,1,
Basil Hayden's Dark Rye,Spirit,Whiskey,750,41.21,40,Basil Hayden,Southern Glazer's,1,
DOS HOMBRES MEZCAL ARTESENAL JOVEN ESPADIN 84,Spirit,Mezcal,750,51.00,42,Dos Hombres,Southern Glazer's,1,
justin red wine isosceles reserve paso robles 2015,Wine,Red,750,777.00,12,Justin Red,Southern Glazer's,1,777.00
Jim Beam Straight Bourbon White Label 80,Spirit,Whiskey,750,21.05,40,Jim Beam,Southern Glazer's,1,
liquid alchemist orgeat syrup,Non-Alc,Syrup,1000,24.99,,Liquid Alchemist,Southern Glazer's,1,
KNOB CREEK STRAIGHT BOURBON SMALL BATCH 12YR 100,Spirit,Whiskey,750,56.87,50,Knob Creek,Southern Glazer's,1,
Grand Marnier Cognac & Orange Liqueur Cordon Rouge 80,Spirit,Cognac,750,37.51,40,Grand Marnier,Southern Glazer's,1,
MAKER'S MARK STRAIGHT BOURBON 90,Spirit,Whiskey,1000,37.54,45,Maker's Mark,Southern Glazer's,12,450.47
"LAMBORN FAMILY VINEYARDS CABERNET SAUVIGNON, HOWELL MOUNTAIN",Wine,Red,750,106.00,12,Lamborn,Still Tap,1,
"QUIXOTE PANZA CABERNET SAUVIGNON, STAGS LEAP DISTRICT, NAPA VALLEY",Wine,Red,750,50.00,12,Quixote,Still Tap,1,
QUIXOTE PETITE SIRAH,Wine,Red,750,64.52,12,Quixote,Still Tap,1,
"Giacomo Grimaldi, Barolo, Piedmont, Italy",Wine,Red,750,30.00,12,Giacomo Grimaldi Barolo,Synergy Fine Wines,12,360.00
